lambdaTA, lambdaPE, lambdaTV, tiso, angleScalingTA, omegaMax, anglePE, idx
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.4310600000000001e+01, 1.0000000000000000e+00, 1.7274600000000000e+01, 0.0000000000000000e+00, 1.1000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.8786400000000003e+02, 1.0000000000000000e+00, 7.9869500000000002e+00, 0.0000000000000000e+00, 1.2000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.1165000000000001e+02, 1.0000000000000000e+00, 1.9231000000000002e+01, 0.0000000000000000e+00, 1.3000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.8786400000000003e+02, 1.0000000000000000e+00, 7.9869500000000002e+00, 0.0000000000000000e+00, 1.4000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.1165000000000001e+02, 1.0000000000000000e+00, 1.9231000000000002e+01, 0.0000000000000000e+00, 1.5000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.0000000000000000e+01, 1.0000000000000000e+00, 9.0233500000000006e+00, 0.0000000000000000e+00, 1.6000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.0000000000000000e+01, 1.0000000000000000e+00, 9.1804299999999994e+00, 0.0000000000000000e+00, 1.7000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2740100000000000e+02, 1.0000000000000000e+00, 1.6248999999999999e+01, 0.0000000000000000e+00, 1.8000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.1138800000000003e+01, 1.0000000000000000e+00, 1.9076400000000000e+01, 0.0000000000000000e+00, 1.9000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.9872799999999998e+01, 1.0000000000000000e+00, 1.8449999999999999e+01, 0.0000000000000000e+00, 2.0000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0138400000000000e+02, 1.0000000000000000e+00, 1.8100000000000001e+01, 0.0000000000000000e+00, 2.1000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.3834499999999998e+01, 1.0000000000000000e+00, 2.1770000000000000e+01, 0.0000000000000000e+00, 2.2000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1421700000000001e+01, 1.0000000000000000e+00, 1.8020000000000000e+01, 0.0000000000000000e+00, 2.3000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2740100000000000e+02, 1.0000000000000000e+00, 1.6248999999999999e+01, 0.0000000000000000e+00, 2.4000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.1138800000000003e+01, 1.0000000000000000e+00, 1.9076400000000000e+01, 0.0000000000000000e+00, 2.5000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.9872799999999998e+01, 1.0000000000000000e+00, 1.8449999999999999e+01, 0.0000000000000000e+00, 2.6000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0138400000000000e+02, 1.0000000000000000e+00, 1.8100000000000001e+01, 0.0000000000000000e+00, 2.7000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1421700000000001e+01, 1.0000000000000000e+00, 1.8020000000000000e+01, 0.0000000000000000e+00, 2.8000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.3834499999999998e+01, 1.0000000000000000e+00, 2.1770000000000000e+01, 0.0000000000000000e+00, 2.9000000000000000e+01
