lambdaTA, lambdaPE, lambdaTV, tiso, angleScalingTA, omegaMax, anglePE, idx
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.9872799999999998e+01, 1.0000000000000000e+00, 1.8449999999999999e+01, 0.0000000000000000e+00, 2.0000000000000000e+01
1.2207031250000000e-04, 5.4186889489004478e-05, 1.2207031250000000e-04, 1.0138789076276186e+02, 1.0000542437172253e+00, 1.8100982151246818e+01, 0.0000000000000000e+00, 2.1000000000000000e+01
1.2207031250000000e-04, 5.4017193439420441e-05, 1.2207031250000000e-04, 2.3835913719555343e+01, 1.0000509599346254e+00, 2.1771175986132182e+01, 0.0000000000000000e+00, 2.2000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1421700000000001e+01, 1.0000000000000000e+00, 1.8020000000000000e+01, 0.0000000000000000e+00, 2.3000000000000000e+01
1.2207031250000000e-04, 5.6952187965986532e-05, 1.2207031250000000e-04, 1.2740228977443624e+02, 1.0000292656065053e+00, 1.6250039621390016e+01, 0.0000000000000000e+00, 2.4000000000000000e+01
1.2207031250000000e-04, 5.1514027101697184e-05, 1.2207031250000000e-04, 9.1141990949549793e+01, 1.0000496156721264e+00, 1.9077380874687165e+01, 0.0000000000000000e+00, 2.5000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.9872799999999998e+01, 1.0000000000000000e+00, 1.8449999999999999e+01, 0.0000000000000000e+00, 2.6000000000000000e+01
1.2207031250000000e-04, 5.4671662228117916e-05, 1.2207031250000000e-04, 1.0138792260274255e+02, 1.0000546906369736e+00, 1.8100989379936074e+01, -1.0022166539962471e-09, 2.7000000000000000e+01
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1421700000000001e+01, 1.0000000000000000e+00, 1.8020000000000000e+01, 0.0000000000000000e+00, 2.8000000000000000e+01
1.2207031250000000e-04, 5.3970064002525807e-05, 1.2207031250000000e-04, 2.3835909490945813e+01, 1.0000511100526981e+00, 2.1771174977439703e+01, 0.0000000000000000e+00, 2.9000000000000000e+01
